set_song_id,set_list_id,song_master_id,start_time,order_in_set,override_lyrics_path,override_scroll_y,override_cam_profile_id,enabled,created_date,modified_date
1001,1,57,00:00:00.000,1,,0,,1,,1961-06-02
1002,1,19,00:03:45.660,2,,0,,1,,1961-06-02
1003,1,15,00:08:49.744,3,,0,,1,,1961-06-02
1004,1,51,00:13:09.532,4,,0,,1,,1961-06-02
1005,1,5,00:16:36.805,5,,0,,1,,1961-06-02
1006,1,6,00:19:14.088,6,,0,,1,,1961-06-02
1007,1,7,00:23:18.655,7,,0,,1,,1961-06-02
1008,1,8,00:29:31.127,8,,0,,1,,1961-06-02
2001,2,101,00:00:00.000,1,,0,,1,,1961-06-02
2002,2,102,00:03:56.000,2,,0,,1,,1961-06-02
2003,2,103,00:11:08.000,3,,0,,1,,1961-06-02
2004,2,104,00:15:35.000,4,,0,,1,,1961-06-02
2005,2,105,00:21:53.000,5,,0,,1,,1961-06-02
3001,3,201,00:00:00.000,1,,0,,1,,1961-06-02
3002,3,202,00:03:18.000,2,,0,,1,,1961-06-02
3003,3,203,00:05:23.000,3,,0,,1,,1961-06-02
3004,3,204,00:12:38.000,4,,0,,1,,1961-06-02
3005,3,205,00:16:44.000,5,,0,,1,,1961-06-02
4001,4,301,00:00:00.000,1,,0,,1,,1961-06-02
4002,4,302,00:02:39.000,2,,0,,1,,1961-06-02
4003,4,303,00:07:13.000,3,,0,,1,,1961-06-02
4004,4,304,00:09:26.000,4,,0,,1,,1961-06-02
4005,4,305,00:14:57.000,5,,0,,1,,1961-06-02
