song_master_id,song_name,artist,default_lyrics_path,default_scroll_y,cam_profile_id,notes,active,created_date,modified_date
57,"Steppin' Out","Joe Jackson","/Users/timstiles/Music/LiveShow/Lyrics/Steppin' Out.pdf",0,,,"1",,1961-06-02
19,"Hey Nineteen","Steely Dan","/Users/timstiles/Music/LiveShow/Lyrics/Hey Nineteen.pdf",0,,,"1",,1961-06-02
15,"Georgy Porgy","Toto","/Users/timstiles/Music/LiveShow/Lyrics/Georgy Porgy.pdf",0,,,"1",,1961-06-02
51,"Sarah Smile","Hall & Oates","/Users/timstiles/Music/LiveShow/Lyrics/Sarah Smile.pdf",0,,,"1",,1961-06-02
5,"I Ain't Worried","OneRepublic","/Users/timstiles/Music/LiveShow/Lyrics/I Ain't Worried.pdf",0,,,"1",,1961-06-02
6,"Something About You","Level 42","/Users/timstiles/Music/LiveShow/Lyrics/Something About You.pdf",0,,,"1",,1961-06-02
7,"I'm Not In Love","10cc","/Users/timstiles/Music/LiveShow/Lyrics/I'm Not In Love.pdf",0,,,"1",,1961-06-02
8,"Careless Whisper","George Michael","/Users/timstiles/Music/LiveShow/Lyrics/Careless Whisper.pdf",0,,,"1",,1961-06-02
101,"Peg","Steely Dan","/Users/timstiles/Music/LiveShow/Lyrics/Peg.pdf",0,,,"1",,1961-06-02
102,"Deacon Blues","Steely Dan","/Users/timstiles/Music/LiveShow/Lyrics/Deacon Blues.pdf",0,,,"1",,1961-06-02
103,"Josie","Steely Dan","/Users/timstiles/Music/LiveShow/Lyrics/Josie.pdf",0,,,"1",,1961-06-02
104,"Sara","Fleetwood Mac","/Users/timstiles/Music/LiveShow/Lyrics/Sara.pdf",0,,,"1",,1961-06-02
105,"Holding Back the Years","Simply Red","/Users/timstiles/Music/LiveShow/Lyrics/Holding Back the Years.pdf",0,,,"1",,1961-06-02
201,"Let's Stay Together","Al Green","/Users/timstiles/Music/LiveShow/Lyrics/Let's Stay Together.pdf",0,,,"1",,1961-06-02
202,"Ain't No Sunshine","Bill Withers","/Users/timstiles/Music/LiveShow/Lyrics/Ain't No Sunshine.pdf",0,,,"1",,1961-06-02
203,"Papa Was a Rollin' Stone","The Temptations","/Users/timstiles/Music/LiveShow/Lyrics/Papa Was a Rollin' Stone.pdf",0,,,"1",,1961-06-02
204,"Human Nature","Michael Jackson","/Users/timstiles/Music/LiveShow/Lyrics/Human Nature.pdf",0,,,"1",,1961-06-02
205,"Get Lucky","Daft Punk","/Users/timstiles/Music/LiveShow/Lyrics/Get Lucky.pdf",0,,,"1",,1961-06-02
301,"Fly Me to the Moon","Frank Sinatra","/Users/timstiles/Music/LiveShow/Lyrics/Fly Me to the Moon.pdf",0,,,"1",,1961-06-02
302,"It Was a Very Good Year","Frank Sinatra","/Users/timstiles/Music/LiveShow/Lyrics/It Was a Very Good Year.pdf",0,,,"1",,1961-06-02
303,"What a Wonderful World","Louis Armstrong","/Users/timstiles/Music/LiveShow/Lyrics/What a Wonderful World.pdf",0,,,"1",,1961-06-02
304,"Home at Last","Steely Dan","/Users/timstiles/Music/LiveShow/Lyrics/Home at Last.pdf",0,,,"1",,1961-06-02
305,"Masquerade","George Benson","/Users/timstiles/Music/LiveShow/Lyrics/Masquerade.pdf",0,,,"1",,1961-06-02
